year	sex	name	n	prop
1886	F	Magdalena	40	2.6019e-4
1886	F	Clarice	19	1.2359e-4
1886	M	Ashley	14	1.1761e-4
1886	M	Florian	6	5.04e-5
1887	F	Caroline	398	0.00256077
1887	F	Hannah	279	0.00179511
1887	F	Teresa	107	6.8845e-4
1887	F	Helena	78	5.0186e-4
1887	F	Claudia	74	4.7612e-4
1887	F	Magdalena	26	1.6729e-4
1887	F	Clarice	10	6.434e-5
1887	M	Ashley	10	9.148e-5
1887	M	Page	5	4.574e-5
1888	F	Caroline	458	0.00241759
1888	F	Hannah	295	0.00155718
1888	F	Teresa	111	5.8592e-4
1888	F	Helena	103	5.4369e-4
1888	F	Claudia	81	4.2756e-4
1888	F	Magdalena	41	2.1642e-4
1888	F	Clarice	19	1.0029e-4
1888	M	Ashley	7	5.389e-5
1888	M	Page	5	3.849e-5
1889	F	Caroline	491	0.00259488
1889	F	Hannah	301	0.00159075
1889	F	Teresa	113	5.9719e-4
1889	F	Helena	103	5.4434e-4
1889	F	Claudia	88	4.6507e-4
1889	F	Magdalena	37	1.9554e-4
1889	F	Clarice	30	1.5855e-4
1890	F	Caroline	455	0.00225626
1890	F	Hannah	267	0.001324
1890	F	Teresa	110	5.4547e-4
1890	F	Helena	100	4.9588e-4
1890	F	Claudia	95	4.7109e-4
1890	F	Magdalena	25	1.2397e-4
1890	F	Clarice	22	1.0909e-4
1890	F	Page	5	2.479e-5
1890	M	Ashley	12	1.0025e-4
1890	M	Florian	6	5.012e-5
1891	F	Caroline	402	0.00204511
1891	F	Hannah	293	0.00149059
1891	F	Teresa	131	6.6644e-4
1891	F	Helena	94	4.7821e-4
1891	F	Claudia	81	4.1208e-4
1891	F	Magdalena	41	2.0858e-4
1891	F	Clarice	28	1.4245e-4
1891	M	Ashley	8	7.322e-5
1891	M	Caroline	5	4.576e-5
1891	M	Page	5	4.576e-5
1892	F	Caroline	476	0.00211637
1892	F	Hannah	326	0.00144945
1892	F	Teresa	143	6.358e-4
1892	F	Helena	124	5.5132e-4
1892	F	Claudia	95	4.2239e-4
1892	F	Clarice	32	1.4228e-4
1892	F	Magdalena	26	1.156e-4
1892	M	Ashley	12	9.129e-5
1892	M	Page	9	6.847e-5
1892	M	Florian	6	4.564e-5
1893	F	Caroline	483	0.00214446
1893	F	Hannah	304	0.00134972
1893	F	Teresa	132	5.8606e-4
1893	F	Helena	99	4.3955e-4
1893	F	Claudia	89	3.9515e-4
1893	F	Magdalena	58	2.5751e-4
1893	F	Clarice	53	2.3531e-4
1893	M	Ashley	10	8.262e-5
1893	M	Florian	7	5.783e-5
1894	F	Caroline	473	0.00200448
1894	F	Hannah	293	0.00124168
1894	F	Teresa	157	6.6534e-4
1894	F	Claudia	108	4.5768e-4
1894	F	Helena	106	4.4921e-4
1894	F	Clarice	63	2.6698e-4
1894	F	Magdalena	46	1.9494e-4
1894	M	Ashley	17	1.3612e-4
1894	M	Florian	6	4.804e-5
1895	F	Caroline	484	0.00195867
1895	F	Hannah	301	0.0012181
1895	F	Teresa	167	6.7582e-4
1895	F	Helena	107	4.3301e-4
1895	F	Claudia	96	3.885e-4
1895	F	Clarice	51	2.0639e-4
1895	F	Magdalena	31	0.00012545000000000001
1895	M	Ashley	10	7.896e-5
1895	M	Florian	5	3.948e-5
1896	F	Caroline	437	0.00173418
1896	F	Hannah	323	0.00128178
1896	F	Teresa	209	8.2939e-4
1896	F	Helena	118	4.6827e-4
1896	F	Claudia	92	3.6509e-4
1896	F	Clarice	84	3.3334e-4
1896	F	Magdalena	42	1.6667e-4
1896	M	Ashley	10	7.748e-5
1896	M	Florian	7	5.423e-5
1897	F	Caroline	456	0.00183667
1897	F	Hannah	288	0.00116
1897	F	Teresa	159	6.4042e-4
1897	F	Helena	131	5.2764e-4
1897	F	Claudia	85	3.4236e-4
1897	F	Clarice	66	2.6583e-4
1897	F	Magdalena	29	1.1681e-4
1897	M	Ashley	17	1.3941e-4
1898	F	Caroline	441	0.00160864
1898	F	Hannah	338	0.00123293
1898	F	Teresa	217	7.9155e-4
1898	F	Helena	133	4.8515e-4
1898	F	Claudia	103	3.7571e-4
1898	F	Clarice	69	2.5169e-4
1898	F	Magdalena	38	1.3861e-4
1898	M	Page	7	5.299e-5
1898	M	Ashley	5	3.785e-5
1899	F	Caroline	393	0.00158794
1899	F	Hannah	288	0.00116368
1899	F	Teresa	162	6.5457e-4
1899	F	Helena	135	5.4548e-4
1899	F	Claudia	89	3.5961e-4
1899	F	Clarice	79	3.192e-4
1899	F	Magdalena	28	1.1314e-4
1899	M	Ashley	7	6.077e-5
1899	M	Florian	6	5.209e-5
1900	F	Caroline	455	0.00143193
1900	F	Hannah	325	0.00102281
1900	F	Teresa	204	6.4201e-4
1900	F	Claudia	125	3.9339e-4
1900	F	Clarice	113	3.5562e-4
1900	F	Helena	112	3.5248e-4
1900	F	Magdalena	32	1.0071e-4
1900	M	Ashley	5	3.084e-5
1900	M	Claudia	5	3.084e-5
1900	M	Page	5	3.084e-5
1901	F	Caroline	406	0.00159699
1901	F	Hannah	266	0.0010463
1901	F	Teresa	164	6.4509e-4
1901	F	Helena	119	4.6808e-4
1901	F	Clarice	107	4.2088e-4
1901	F	Claudia	84	3.3041e-4
1901	F	Magdalena	37	1.4554e-4
1901	M	Ashley	10	8.651e-5
1902	F	Caroline	452	0.00161236
1902	F	Hannah	271	9.667e-4
1902	F	Teresa	153	5.4578e-4
1902	F	Helena	133	4.7443e-4
1902	F	Clarice	120	4.2806e-4
1902	F	Claudia	97	3.4602e-4
1902	F	Magdalena	37	1.3199e-4
1902	M	Ashley	14	1.0546e-4
1902	M	Florian	7	5.273e-5
1903	F	Caroline	389	0.00139829
1903	F	Hannah	250	8.9865e-4
1903	F	Teresa	174	6.2546e-4
1903	F	Helena	108	3.8822e-4
1903	F	Claudia	98	3.5227e-4
1903	F	Clarice	82	2.9476e-4
1903	F	Magdalena	40	1.4378e-4
1903	M	Ashley	7	5.413e-5
1904	F	Caroline	429	0.00146699
1904	F	Hannah	261	8.925e-4
1904	F	Teresa	179	6.121e-4
1904	F	Helena	112	3.8299e-4
1904	F	Claudia	100	3.4196e-4
1904	F	Clarice	98	3.3512e-4
1904	F	Magdalena	28	9.575e-5
1904	M	Ashley	11	7.942e-5
1904	M	Florian	8	5.776e-5
1905	F	Caroline	407	0.00131348
1905	F	Hannah	219	7.0676e-4
1905	F	Teresa	178	5.7444e-4
1905	F	Claudia	122	3.9372e-4
1905	F	Clarice	114	3.679e-4
1905	F	Helena	106	3.4208e-4
1905	F	Magdalena	32	1.0327e-4
1905	M	Ashley	10	6.981e-5
1905	M	Florian	8	5.585e-5
1906	F	Caroline	409	0.00130487
1906	F	Hannah	256	8.1674e-4
1906	F	Teresa	198	6.317e-4
1906	F	Claudia	142	4.5304e-4
1906	F	Clarice	136	4.3389e-4
1906	F	Helena	93	2.9671e-4
1906	F	Magdalena	33	1.0528e-4
1906	M	Ashley	13	9.023e-5
1906	M	Florian	8	5.553e-5
1907	F	Caroline	437	0.00129507
1907	F	Hannah	239	7.0829e-4
1907	F	Teresa	191	5.6604e-4
1907	F	Claudia	143	4.2379e-4
1907	F	Helena	139	4.1193e-4
1907	F	Clarice	138	4.0897e-4
1907	F	Magdalena	32	9.483e-5
1907	F	Karin	6	1.778e-5
1907	M	Ashley	7	4.414e-5
1907	M	Florian	6	3.783e-5
1908	F	Caroline	449	0.00126646
1908	F	Hannah	240	6.7695e-4
1908	F	Teresa	233	6.5721e-4
1908	F	Clarice	141	3.9771e-4
1908	F	Claudia	134	3.7796e-4
1908	F	Helena	124	3.4976e-4
1908	F	Magdalena	28	7.898e-5
1908	M	Ashley	9	5.41e-5
1908	M	Florian	8	4.809e-5
1909	F	Caroline	443	0.00120349
1909	F	Hannah	278	7.5524e-4
1909	F	Teresa	215	5.8409e-4
1909	F	Claudia	155	4.2109e-4
1909	F	Helena	151	4.1022e-4
1909	F	Clarice	149	4.0479e-4
1909	F	Magdalena	47	1.2768e-4
1909	M	Florian	12	6.785e-5
1909	M	Ashley	10	5.654e-5
1909	M	Page	6	3.392e-5
1910	F	Caroline	553	0.00131815
1910	F	Hannah	305	7.2701e-4
1910	F	Teresa	220	5.244e-4
1910	F	Clarice	182	4.3382e-4
1910	F	Helena	175	4.1714e-4
1910	F	Claudia	137	3.2656e-4
1910	F	Magdalena	36	8.581e-5
1910	F	Page	5	1.192e-5
1910	M	Florian	16	7.673e-5
1910	M	Ashley	7	3.357e-5
1910	M	Page	5	2.398e-5
1911	F	Caroline	550	0.00124486
1911	F	Teresa	281	6.3601e-4
1911	F	Hannah	279	6.3148e-4
1911	F	Clarice	194	4.3909e-4
1911	F	Claudia	178	4.0288e-4
1911	F	Helena	175	3.9609e-4
1911	F	Magdalena	40	9.054e-5
1911	F	Stefanie	6	1.358e-5
1911	M	Florian	18	7.457e-5
1911	M	Ashley	16	6.628e-5
1911	M	Page	6	2.486e-5
1911	M	Clarice	5	2.071e-5
1912	F	Caroline	785	0.00133796
1912	F	Hannah	359	6.1188e-4
1912	F	Teresa	344	5.8632e-4
1912	F	Clarice	254	4.3292e-4
1912	F	Claudia	224	3.8179e-4
1912	F	Helena	220	3.7497e-4
1912	F	Magdalena	53	9.033e-5
1912	F	Page	10	1.704e-5
1912	F	Karin	6	1.023e-5
1912	F	Stefanie	6	1.023e-5
1912	M	Florian	37	8.196e-5
1912	M	Ashley	23	5.095e-5
1912	M	Page	9	1.994e-5
1913	F	Caroline	805	0.00122917
1913	F	Teresa	424	6.4741e-4
1913	F	Hannah	396	6.0466e-4
1913	F	Clarice	319	4.8709e-4
1913	F	Helena	245	3.741e-4
1913	F	Claudia	235	3.5883e-4
1913	F	Magdalena	49	7.482e-5
1913	F	Florian	6	9.16e-6
1913	F	Charmaine	5	7.63e-6
1913	F	Karin	5	7.63e-6
1913	F	Page	5	7.63e-6
1913	F	Stefanie	5	7.63e-6
1913	M	Florian	63	1.1748e-4
1913	M	Ashley	31	5.781e-5
1913	M	Page	8	1.492e-5
1913	M	Clarice	5	9.32e-6
1914	F	Caroline	989	0.0012415
1914	F	Teresa	524	6.5778e-4
1914	F	Hannah	443	5.561e-4
1914	F	Helena	327	4.1048e-4
1914	F	Clarice	300	3.7659e-4
1914	F	Claudia	285	3.5776e-4
1914	F	Magdalena	56	7.03e-5
1914	F	Karin	11	1.381e-5
1914	F	Stefanie	10	1.255e-5
1914	F	Page	9	1.13e-5
1914	F	Charmaine	5	6.28e-6
1914	F	Florian	5	6.28e-6
1914	M	Florian	61	8.927e-5
1914	M	Ashley	42	6.146e-5
1914	M	Page	10	1.463e-5
1914	M	Caroline	7	1.024e-5
1915	F	Caroline	1402	0.00136931
1915	F	Teresa	686	6.7e-4
1915	F	Hannah	546	5.3327e-4
1915	F	Clarice	470	4.5904e-4
1915	F	Helena	405	3.9556e-4
1915	F	Claudia	387	3.7798e-4
1915	F	Magdalena	76	7.423e-5
1915	F	Stefanie	14	1.367e-5
1915	F	Karin	13	1.27e-5
1915	F	Charmaine	9	8.79e-6
1915	F	Florian	5	4.88e-6
1915	F	Page	5	4.88e-6
1915	M	Florian	92	1.0443e-4
1915	M	Ashley	47	5.335e-5
1915	M	Page	24	2.724e-5
1915	M	Claudia	8	9.08e-6
1916	F	Caroline	1385	0.00127565
1916	F	Teresa	662	6.0973e-4
1916	F	Hannah	549	5.0565e-4
1916	F	Clarice	484	4.4579e-4
1916	F	Helena	424	3.9052e-4
1916	F	Claudia	361	3.325e-4
1916	F	Magdalena	85	7.829e-5
1916	F	Page	13	1.197e-5
1916	F	Karin	11	1.013e-5
1916	F	Stefanie	10	9.21e-6
1916	F	Florian	5	4.61e-6
1916	M	Florian	99	1.0723e-4
1916	M	Ashley	48	5.199e-5
1916	M	Page	12	1.3e-5
1916	M	Claudia	10	1.083e-5
1917	F	Caroline	1368	0.00121741
1917	F	Teresa	673	5.9892e-4
1917	F	Hannah	541	4.8145e-4
1917	F	Clarice	491	4.3695e-4
1917	F	Helena	440	3.9156e-4
1917	F	Claudia	342	3.0435e-4
1917	F	Magdalena	68	6.051e-5
1917	F	Stefanie	20	1.78e-5
1917	F	Page	9	8.01e-6
1917	F	Karin	6	5.34e-6
1917	F	Ashley	5	4.45e-6
1917	M	Florian	120	1.2509e-4
1917	M	Ashley	45	4.691e-5
1917	M	Page	31	3.231e-5
1917	M	Claudia	10	1.042e-5
1917	M	Clarice	6	6.25e-6
1917	M	Teresa	5	5.21e-6
1918	F	Caroline	1457	0.00121178
1918	F	Teresa	674	5.6056e-4
1918	F	Clarice	548	4.5577e-4
1918	F	Hannah	513	4.2666e-4
1918	F	Helena	488	4.0587e-4
1918	F	Claudia	428	3.5597e-4
1918	F	Magdalena	79	6.57e-5
1918	F	Karin	14	1.164e-5
1918	F	Stefanie	8	6.65e-6
1918	F	Charmaine	7	5.82e-6
1918	M	Florian	110	1.0489e-4
1918	M	Ashley	42	4.005e-5
1918	M	Page	23	2.193e-5
1918	M	Claudia	6	5.72e-6
1919	F	Caroline	1295	0.00110246
1919	F	Teresa	706	6.0103e-4
1919	F	Clarice	542	4.6141e-4
1919	F	Hannah	534	4.546e-4
1919	F	Helena	440	3.7458e-4
1919	F	Claudia	355	3.0222e-4
1919	F	Magdalena	62	5.278e-5
1919	F	Stefanie	12	1.022e-5
1919	F	Karin	11	9.36e-6
1919	F	Page	8	6.81e-6
1919	F	Charmaine	5	4.26e-6
1919	M	Florian	100	9.849e-5
1919	M	Ashley	59	5.811e-5
1919	M	Page	20	1.97e-5
1919	M	Claudia	7	6.89e-6
1919	M	Caroline	5	4.92e-6
1919	M	Hannah	5	4.92e-6
1920	F	Caroline	1437	0.00115511
1920	F	Teresa	720	5.7876e-4
1920	F	Clarice	553	4.4452e-4
1920	F	Hannah	471	3.7861e-4
1920	F	Claudia	389	3.1269e-4
1920	F	Helena	383	3.0787e-4
1920	F	Magdalena	84	6.752e-5
1920	F	Page	12	9.65e-6
1920	F	Karin	9	7.23e-6
1920	F	Stefanie	8	6.43e-6
1920	M	Florian	93	8.448e-5
1920	M	Ashley	43	3.906e-5
1920	M	Page	36	3.27e-5
1920	M	Claudia	10	9.08e-6
1920	M	Clarice	9	8.18e-6
1921	F	Caroline	1425	0.00111353
1921	F	Teresa	738	5.7669e-4
1921	F	Clarice	600	4.6886e-4
1921	F	Hannah	496	3.8759e-4
1921	F	Claudia	419	3.2742e-4
1921	F	Helena	391	3.0554e-4
1921	F	Magdalena	96	7.502e-5
1921	F	Stefanie	14	1.094e-5
1921	F	Karin	10	7.81e-6
1921	F	Florian	5	3.91e-6
1921	M	Florian	125	1.0985e-4
1921	M	Ashley	47	4.13e-5
1921	M	Page	30	2.636e-5
1921	M	Claudia	14	1.23e-5
1922	F	Caroline	1268	0.00101639
1922	F	Teresa	701	5.619e-4
1922	F	Clarice	533	4.2724e-4
1922	F	Hannah	411	3.2944e-4
1922	F	Claudia	401	3.2143e-4
1922	F	Helena	358	2.8696e-4
1922	F	Magdalena	80	6.413e-5
1922	F	Karin	11	8.82e-6
1922	F	Stefanie	10	8.02e-6
1922	M	Florian	103	9.153e-5
1922	M	Ashley	53	4.71e-5
1922	M	Page	17	1.511e-5
1922	M	Claudia	14	1.244e-5
1922	M	Teresa	6	5.33e-6
1923	F	Caroline	1304	0.00104115
1923	F	Teresa	724	5.7806e-4
1923	F	Clarice	530	4.2317e-4
1923	F	Hannah	435	3.4732e-4
1923	F	Helena	371	2.9622e-4
1923	F	Claudia	356	2.8424e-4
1923	F	Magdalena	106	8.463e-5
1923	F	Page	8	6.39e-6
1923	F	Stefanie	8	6.39e-6
1923	F	Karin	5	3.99e-6
1923	M	Florian	102	9.008e-5
1923	M	Ashley	47	4.151e-5
1923	M	Page	18	1.59e-5
1923	M	Claudia	6	5.3e-6
1923	M	Caroline	5	4.42e-6
1924	F	Caroline	1302	0.00100486
1924	F	Teresa	786	6.0662e-4
1924	F	Clarice	554	4.2757e-4
1924	F	Helena	386	2.9791e-4
1924	F	Hannah	381	2.9405e-4
1924	F	Claudia	380	2.9328e-4
1924	F	Magdalena	113	8.721e-5
1924	F	Stefanie	13	1.003e-5
1924	F	Karin	8	6.17e-6
1924	F	Page	5	3.86e-6
1924	M	Florian	99	8.468e-5
1924	M	Ashley	46	3.935e-5
1924	M	Page	22	1.882e-5
1924	M	Claudia	6	5.13e-6
1924	M	Teresa	5	4.28e-6
1925	F	Caroline	1193	9.4452e-4
1925	F	Teresa	955	7.5609e-4
1925	F	Clarice	594	4.7028e-4
1925	F	Hannah	381	3.0164e-4
1925	F	Claudia	376	2.9769e-4
1925	F	Helena	351	2.7789e-4
1925	F	Magdalena	96	7.6e-5
1925	F	Charmaine	10	7.92e-6
1925	F	Karin	10	7.92e-6
1925	F	Florian	6	4.75e-6
1925	M	Florian	104	9.032e-5
1925	M	Ashley	57	4.95e-5
1925	M	Page	26	2.258e-5
1925	M	Clarice	5	4.34e-6
1925	M	Claudia	5	4.34e-6
1926	F	Caroline	1217	9.8931e-4
1926	F	Teresa	1160	9.4297e-4
1926	F	Clarice	536	4.3572e-4
1926	F	Claudia	386	3.1378e-4
1926	F	Hannah	360	2.9265e-4
1926	F	Helena	257	2.0892e-4
1926	F	Magdalena	86	6.991e-5
1926	F	Karin	10	8.13e-6
1926	F	Page	10	8.13e-6
1926	F	Charmaine	8	6.5e-6
1926	F	Florian	7	5.69e-6
1926	M	Florian	101	8.817e-5
1926	M	Ashley	45	3.9280000000000003e-05
1926	M	Page	16	1.397e-5
1926	M	Claudia	9	7.86e-6
1926	M	Teresa	7	6.11e-6
1926	M	Clarice	6	5.24e-6
1927	F	Teresa	1211	9.7946e-4
1927	F	Caroline	1167	9.4387e-4
1927	F	Clarice	581	4.6991e-4
1927	F	Claudia	361	2.9198e-4
1927	F	Hannah	347	2.8065e-4
1927	F	Helena	287	2.3213e-4
1927	F	Magdalena	112	9.059e-5
1927	F	Charmaine	74	5.985e-5
1927	F	Karin	10	8.09e-6
1927	F	Page	7	5.66e-6
1927	F	Florian	5	4.04e-6
1927	M	Florian	75	6.455e-5
1927	M	Ashley	50	4.303e-5
1927	M	Page	18	1.549e-5
1927	M	Clarice	12	1.033e-5
1927	M	Claudia	5	4.3e-6
1928	F	Teresa	1213	0.00101467
1928	F	Caroline	1189	9.9459e-4
1928	F	Clarice	568	4.7513e-4
1928	F	Claudia	377	3.1536e-4
1928	F	Hannah	274	2.292e-4
1928	F	Helena	270	2.2585e-4
1928	F	Charmaine	264	2.2083e-4
1928	F	Magdalena	102	8.532e-5
1928	F	Karin	16	1.338e-5
1928	F	Florian	6	5.02e-6
1928	M	Florian	82	7.186e-5
1928	M	Ashley	37	3.242e-5
1928	M	Page	21	1.84e-5
1928	M	Caroline	8	7.01e-6
1928	M	Clarice	7	6.13e-6
1928	M	Teresa	7	6.13e-6
1928	M	Claudia	6	5.26e-6
1929	F	Caroline	1192	0.00102979
1929	F	Teresa	1021	8.8206e-4
1929	F	Clarice	547	4.7256e-4
1929	F	Claudia	312	2.6954e-4
1929	F	Hannah	255	2.203e-4
1929	F	Helena	252	2.1771e-4
1929	F	Charmaine	114	9.849e-5
1929	F	Magdalena	92	7.948e-5
1929	F	Karin	15	1.296e-5
1929	F	Stefanie	9	7.78e-6
1929	F	Page	8	6.91e-6
1929	M	Florian	69	6.23e-5
1929	M	Ashley	39	3.521e-5
1929	M	Page	20	1.806e-5
1929	M	Teresa	9	8.13e-6
1929	M	Claudia	8	7.22e-6
1929	M	Clarice	6	5.42e-6
1930	F	Caroline	1160	9.9449e-4
1930	F	Teresa	993	8.5132e-4
1930	F	Clarice	536	4.5952e-4
1930	F	Claudia	338	2.8977e-4
1930	F	Hannah	250	2.1433e-4
1930	F	Helena	242	2.0747e-4
1930	F	Charmaine	124	1.0631e-4
1930	F	Magdalena	90	7.716e-5
1930	F	Karin	21	1.8e-5
1930	F	Page	8	6.86e-6
1930	M	Florian	65	5.755e-5
1930	M	Ashley	26	2.302e-5
1930	M	Page	18	1.594e-5
1930	M	Teresa	9	7.97e-6
1930	M	Clarice	6	5.31e-6
1930	M	Caroline	5	4.43e-6
1931	F	Caroline	1125	0.00101937
1931	F	Teresa	947	8.5808e-4
1931	F	Clarice	508	4.603e-4
1931	F	Claudia	375	3.3979e-4
1931	F	Helena	247	2.2381e-4
1931	F	Hannah	213	1.93e-4
1931	F	Charmaine	93	8.427e-5
1931	F	Magdalena	93	8.427e-5
1931	F	Karin	22	1.993e-5
1931	F	Page	9	8.15e-6
1931	M	Florian	67	6.264e-5
1931	M	Ashley	35	3.272e-5
1931	M	Page	17	1.589e-5
1931	M	Clarice	5	4.67e-6
1931	M	Claudia	5	4.67e-6
1931	M	Teresa	5	4.67e-6
1932	F	Caroline	1103	9.9709e-4
1932	F	Teresa	854	7.72e-4
1932	F	Clarice	459	4.1493e-4
1932	F	Claudia	330	2.9831e-4
1932	F	Hannah	231	2.0882e-4
1932	F	Helena	223	2.0159e-4
1932	F	Charmaine	106	9.582e-5
1932	F	Magdalena	81	7.322e-5
1932	F	Karin	32	2.893e-5
1932	F	Page	8	7.23e-6
1932	M	Florian	61	5.678e-5
1932	M	Ashley	30	2.793e-5
1932	M	Page	22	2.048e-5
1932	M	Teresa	11	1.024e-5
1932	M	Caroline	6	5.59e-6
1932	M	Clarice	5	4.65e-6
1933	F	Caroline	1050	0.00100389
1933	F	Teresa	753	7.1993e-4
1933	F	Clarice	436	4.1685e-4
1933	F	Claudia	411	3.9295e-4
1933	F	Helena	205	1.96e-4
1933	F	Hannah	202	1.9313e-4
1933	F	Magdalena	85	8.127e-5
1933	F	Charmaine	82	7.84e-5
1933	F	Karin	44	4.207e-5
1933	F	Page	8	7.65e-6
1933	F	Stefanie	6	5.74e-6
1933	M	Florian	56	5.49e-5
1933	M	Ashley	22	2.157e-5
1933	M	Page	10	9.8e-6
1933	M	Claudia	6	5.88e-6
1933	M	Clarice	5	4.9e-6
1934	F	Caroline	1069	9.8778e-4
1934	F	Teresa	707	6.5328e-4
1934	F	Claudia	500	4.6201e-4
1934	F	Clarice	439	4.0565e-4
1934	F	Hannah	239	2.2084e-4
1934	F	Helena	187	1.7279e-4
1934	F	Charmaine	94	8.686e-5
1934	F	Magdalena	64	5.914e-5
1934	F	Karin	40	3.696e-5
1934	F	Page	6	5.54e-6
1934	M	Florian	55	5.18e-5
1934	M	Ashley	32	3.014e-5
1934	M	Page	12	1.13e-5
1934	M	Claudia	8	7.53e-6
1934	M	Clarice	6	5.65e-6
1935	F	Caroline	1048	9.6438e-4
1935	F	Claudia	719	6.6163e-4
1935	F	Teresa	716	6.5887e-4
1935	F	Clarice	398	3.6624e-4
1935	F	Hannah	208	1.914e-4
1935	F	Helena	190	1.7484e-4
1935	F	Charmaine	85	7.822e-5
1935	F	Magdalena	82	7.546e-5
1935	F	Karin	41	3.773e-5
1935	F	Page	7	6.44e-6
1935	F	Florian	5	4.6e-6
1935	M	Ashley	34	3.179e-5
1935	M	Florian	30	2.805e-5
1935	M	Page	16	1.496e-5
1935	M	Teresa	9	8.42e-6
1935	M	Claudia	5	4.68e-6
1936	F	Caroline	1075	9.9769e-4
1936	F	Claudia	792	7.3504e-4
1936	F	Teresa	675	6.2646e-4
1936	F	Clarice	393	3.6474e-4
1936	F	Helena	177	1.6427e-4
1936	F	Hannah	174	1.6149e-4
1936	F	Charmaine	90	8.353e-5
1936	F	Karin	55	5.104e-5
1936	F	Magdalena	54	5.012e-5
1936	F	Page	7	6.5e-6
1936	F	Stefanie	6	5.57e-6
1936	M	Florian	47	4.417e-5
1936	M	Ashley	36	3.383e-5
1936	M	Page	11	1.034e-5
1936	M	Clarice	8	7.52e-6
1936	M	Claudia	7	6.58e-6
1937	F	Caroline	1093	9.9205e-4
1937	F	Claudia	795	7.2157e-4
1937	F	Teresa	661	5.9995e-4
1937	F	Clarice	371	3.3673e-4
1937	F	Hannah	199	1.8062e-4
1937	F	Helena	198	1.7971e-4
1937	F	Karin	92	8.35e-5
1937	F	Charmaine	84	7.624e-5
1937	F	Magdalena	67	6.081e-5
1937	F	Page	18	1.634e-5
1937	M	Florian	47	4.298e-5
1937	M	Ashley	31	2.835e-5
1937	M	Page	16	1.463e-5
1937	M	Caroline	7	6.4e-6
1937	M	Teresa	7	6.4e-6
1937	M	Claudia	5	4.57e-6
1938	F	Caroline	1116	9.7778e-4
1938	F	Claudia	837	7.3334e-4
1938	F	Teresa	695	6.0892e-4
1938	F	Clarice	352	3.084e-4
1938	F	Hannah	197	1.726e-4
1938	F	Helena	168	1.4719e-4
1938	F	Karin	101	8.849e-5
1938	F	Charmaine	80	7.009e-5
1938	F	Magdalena	63	5.52e-5
1938	F	Page	9	7.89e-6
1938	F	Ashley	7	6.13e-6
1938	F	Stefanie	7	6.13e-6
1938	M	Florian	41	3.608e-5
1938	M	Ashley	25	2.2e-5
1938	M	Page	16	1.408e-5
1938	M	Claudia	8	7.04e-6
1938	M	Teresa	5	4.4e-6
1939	F	Caroline	1005	8.8621e-4
1939	F	Claudia	902	7.9538e-4
1939	F	Teresa	650	5.7317e-4
1939	F	Clarice	332	2.9276e-4
1939	F	Hannah	212	1.8694e-4
1939	F	Helena	195	1.7195e-4
1939	F	Karin	109	9.612e-5
1939	F	Charmaine	84	7.407e-5
1939	F	Magdalena	60	5.291e-5
1939	F	Page	17	1.499e-5
1939	F	Stefanie	9	7.94e-6
1939	M	Florian	38	3.353e-5
1939	M	Ashley	27	2.383e-5
1939	M	Page	17	1.5e-5
1939	M	Claudia	9	7.94e-6
1939	M	Caroline	5	4.41e-6
1940	F	Caroline	1161	9.8286e-4
1940	F	Claudia	861	7.2889e-4
